Species,Common Name
Laminotinus Clade,
acerifolium,Mapleleaf viburnum
adenophorum,Gland-stalked viburnum
annamensis,Vietnamese viburnum
becarrii,Malaysian viburnum
betulifolium,Birchleaf viburnum
brachyandrum,Striped viburnum
brevipes,Sessile viburnum
chunii,Golden-gland viburnum
coriaceum,Indian tube-flower viburnum
coriaceum var. longiflorum,Long tubeflower viburnum
corylifolium,Hazel viburnum
cylindricum,Chinese tube-flower viburnum
dalzielii,Guangdong viburnum
dilatatum,Linden viburnum
dilatatum var. litorale,Coastal linden viburnum
erosum,Beech viburnum
fansipanense,Fansipan viburnum
flavescens,Gold-stem viburnum
foetidum,Stinking viburnum
foetidum var. ceanothoides,Pearl viburnum
foetidum var. rectangulatum,Himalayan evergreen viburnum
fordiae,South Chinese viburnum
formosanum,Taichung viburnum
formosanum ssp. formosanum var. pubigerum,Downy Taichung viburnum
formosanum ssp. leiogynum,Downy-flower Taichung viburnum
glaberrimum,Philippines viburnum
griffithianum,Burmese stinking viburnum
hainanense,Hainan viburnum
hayatae,Taiwan mountain viburnum
hebanthum,Kampara viburnum
hengshanicum,Huangshan viburnum
hispidulum,Bristly viburnum
hoanglienense,Hoanglien viburnum
hupehense,Hubei viburnum
ichangense,Woolly-flower viburnum
inopinatum,Siamese viburnum
japonicum,Japanese viburnum
japonicum var. boninsimense,Bonin Islands viburnum
kansuense,Kansu viburnum
lancifolium,Lanceleaf viburnum
leiocarpum,Smooth viburnum
lobophyllum,Han viburnum
longiradiatum,Umbrella viburnum
luzonicum,Luzon viburnum
luzonicum var. apoense,Mindanao viburnum
luzonicum var. floribundum,Prolific viburnum
luzonicum var. sinuatum,Maluku viburnum
melanocarpum,Blackfruit viburnum
mullaha,Starry viburnum
orientale,Turkish viburnum
parvifolium,Taiwan littleleaf viburnum
phlebotrichum,Coneso viburnum
platyphyllum,Leyte viburnum
sambucinum,Elder-flower viburnum
sambucinum var. subglabrum,Smooth elder-flower viburnum
sambucinum var. tomentosum,Downy elder-flower viburnum
sempervirens,Chinese evergreen viburnum
sempervirens var. smitinandii,Thai evergreen viburnum
sempervirens var. trichophorum,Downy evergreen viburnum
setigerum,Tea viburnum
tashiroi,Ryukyu viburnum
ternatum,Clover viburnum
vernicosum,Waxy viburnum
